		名詞	
AND	∧	記号	
EQ	↔	記号	
INVALID	⊭	記号	
NOT	¬	記号	
OR	∨	記号	
TO	→	記号	
Tじゅつご	T述語	名詞	
U.N.おーえんはかのじょなのか?	U.N.オーエンは彼女なのか？	固有名詞	
VALID	⊨	記号	
あらいとしやす	新井敏康	人名	
あるてもふ	Artemov	人名	
あろーのふかのうせいていり	Arrowの不可能性定理	固有名詞	
いっかいじゅつごろんり	1階述語論理	名詞	
いみろんじょうどうち	意味論上同値	名詞	
いんぼうろんじゃ	陰謀論者	名詞	
いんむ	淫夢	名詞	
うかしぇゔぃち	Łukasiewicz	人名	
えるぶらん	Herbrand	人名	
えるぶらんか	Herbrand化	固有名詞	
えるぶらんこうぞう	Herbrand構造	名詞	
えんえきたいけい	演繹体系	名詞	
えんえきていり	演繹定理	名詞	
おげんしょう	汚言症	名詞	
おすとろごるすきーのぱらどっくす	Ostrogorskiのパラドックス	名詞	
おめがむむじゅん	ω無矛盾	固有名詞	
おれい	Orey	姓	
かいかく	開核	名詞	
かいきゅう	開球	名詞	
かいきんぼう	開近傍	名詞	
かいくうかん	開空間	名詞	
かえいずか	花映塚	名詞	
かしょうさいき	可証再帰	名詞	
かしょうせい	可証性	名詞	
かたずけ	型付け	名詞	
かたなし	型無し	名詞	
かたなしさんじゅつしき	型無し算術式	名詞	
かつ	∧	記号	
かりーか	Curry化	人名	
かりーはわーどたいおう	Curry-Howard対応	名詞	
かりーはわーどどうけいたいおう	Curry-Howard同型対応	名詞	
かりーはわーどらんべっくたいおう	Curry-Howard-Lambek対応	名詞	
かるてしあん	Cartesian	名詞	
かるてしあんへいけん	Cartesian閉圏	固有名詞	
かんとうひょうじゅんけい	冠頭標準形	名詞	
かんとーる	Cantor	人名	
かんとーるのついかんすう	Cantorの対関数	固有名詞	
がいてん	外点	名詞	
がすぱり	Guaspari	人名	
がろあ	Galois	人名	
がろあせつぞく	Galois接続	固有名詞	
きかんすう	奇関数	名詞	
きたー	ｷﾀ―――(ﾟ∀ﾟ)―――― !!	顔文字	
きのうほう	帰納法	名詞	
きょうかいてん	境界点	名詞	
きょうせいほう	強制法	名詞	
きりさめまりさ	霧雨魔理沙	人名	
ぎ	⊥	記号	
ぎくりぷきもでる	擬Kripkeモデル	名詞	
ぎじゅんじょ	擬順序	名詞	
ぎばーどさたーすうぇいとのていり	Gibbard–Satterthwaiteの定理	固有名詞	
くうしゅうごう	空集合	名詞	
くらいぜる	Kreisel	人名	
くりぷき	Kripke	人名	
くりぷきふれーむ	Kripkeフレーム	名詞	
くりぷきもでる	Kripkeモデル	名詞	
くりーね	Kreene	名詞	
くりーねへいほう	Kreene閉包	固有名詞	
くろだひていへんかん	Kuroda否定変換	固有名詞	
ぐうかんすう	偶関数	名詞	
ぐじぇごるちく	Grzegorczyk	名詞	
ぐじぇごるちくかいそう	Grzegorczyk階層	固有名詞	
ぐっどすたいん	Goodstein	人名	
ぐっどすたいんすうれつ	Goodstein数列	固有名詞	
ぐりべんこ	Glivenko	人名	
ぐりべんこのていり	Glivenkoの定理	固有名詞	
ぐれりんぐ	Grelling	姓	
ぐれりんぐねるそんのぱらどくす	Grelling-Nelsonのパラドクス	固有名詞	
げんしさいき	原始再帰	名詞	
げんつぇん	Gentzen	姓	
げーでる	Gödel	人名	
げーでるすう	Gödel数	固有名詞	
げーでるすうか	Gödel数化	名詞	
げーでるのだいいちふかんぜんせいていり	Gödelの第1不完全性定理	固有名詞	
げーでるのだいにふかんぜんせいていり	Gödelの第2不完全性定理	固有名詞	
げーでるのふかんぜんせいていり	Gödelの不完全性定理	固有名詞	
げーでるぶん	Gödel文	固有名詞	
げーでるまっきんぜーたるすきのていり	Gödel-Mckinsey-Tarskiの定理	固有名詞	
げーべる	Göbel	人名	
げーべるすうれつ	Göbel数列	固有名詞	
こうかんりつ	交換律	名詞	
こうし	行使	名詞	
こうしん	恒真	名詞	
こうじ	高次	名詞	
こうじげん	高次元	名詞	
こうりか	公理化	名詞	
こぶはむ	Cobham	姓	
こるもごろふ	Kolmogorov	姓	
こるもごろふふくざつど	Kolmogorov複雑度	固有名詞	
こんどるせ	Condorcet	名詞	
こんどるせのぱらどっくす	Condorcetのパラドックス	名詞	
ごうよくいもん	剛欲異聞	固有名詞	
さいきかんすう	再帰関数	名詞	
さいきてきかさん	再帰的可算	名詞	
さんじゅつ	算術	名詞	
しぇふぁーどそん	Shepherdson	人名	
しおがまいこがまい	潮が舞い子が舞い	固有名詞	
しぐまぜろ	Σ₀	名詞	
しぐまわん	Σ₁	名詞	
しぐまわんかんぜんせい	Σ₁完全性	名詞	
しぐまわんけんぜんせい	Σ₁健全性	名詞	
しすりんすきー	Cieśliński	姓	
しゃむかのふ	Shamkanov	姓	
しゃゔるこふ	Shavrukov	姓	
しょうめいかのうせいろんり	証明可能性論理	名詞	
しょうめいかんりょう	❏	記号	
しょうめいぎ	証明木	名詞	
しょうめいろんじょうどうち	証明論上同値	名詞	
しん	⊤	記号	
しんりていぎふかのうせいていり	真理定義不可能性定理	名詞	
じぇろすろー	Jeroslow	名詞	
じそうろんり	時相論理	名詞	
じゃぱらいず	Japaridze	人名	
じゅうおうえん	獣王園	名詞	
すこーれむ	Skolem	人名	
すこーれむひょうじゅんけい	Skolem標準形	名詞	
すまりやん	Smullyan	人名	
すもりんすきー	Smoryński	人名	
せいそ	整礎	名詞	
せいていち	正定値	名詞	
ぜんしょうか	全称化	名詞	
そういな	相異な	形容詞	
そけつごう	疎結合	名詞	
そろべい	Solovay	姓	
そろゔぇい	Solovay	人名	
そんざいかんとうひょうじゅんけい	存在冠頭標準形	名詞	
たいかくかほだい	対角化補題	名詞	
たげんうちゅう	多元宇宙	名詞	
たこういかのうせい	他行為可能性	名詞	
たこういせい	他行為性	名詞	
たるすき	Tarski	人名	
たるすきのしんりていぎふかのうせいていり	Tarskiの真理定義不可能性定理	固有名詞	
たんじゅんかたつきらむだけいさん	単純型付きλ計算	名詞	
だいいちふかんぜんせいていり	第1不完全性定理	名詞	
だいにふかんぜんせいていり	第2不完全性定理	名詞	
だとう	⊨	記号	
ちきれいでん	智霊奇伝	固有名詞	
ちゃいてぃん	Chaitin	人名	
ちゃいてぃんのふかんぜんせいていり	Chaitinの不完全性定理	固有名詞	
ちゃーち	Church	名詞	
ちゃーちすう	Church数	名詞	
ちゅーりんぐ	Turing	人名	
ちゅーりんぐましん	Turingマシン	固有名詞	
ちょうげんきのうほう	超限帰納法	名詞	
ちれいでん	地霊殿	地名	 
ついかんすう	対関数	名詞	
でぃらっく	Dirac	人名	
とういこうぶん	糖衣構文	名詞	
とうごろん	統語論	名詞	
とーとろじー	⊤	記号	
どぶらうん	de Bruijn	人名	
どぶらうんいんでっくす	de Bruijnインデックス	固有名詞	
どもるがん	de Morgan	人名	
ないえん	内延	名詞	
ないてん	内点	名詞	
ないほうてき	内包的	名詞	
にかいじゅつごろんり	2階述語論理	名詞	
にこうかんけい	2項関係	名詞	
にじかいき	二次回帰	名詞	
ねせしてーしょん	ネセシテーション	名詞	
ねるそん	Nelson	姓	
のいまん	Neumann	人名	
はいてぃんぐ	Heyting	人名	
はくれいれいむ	博麗霊夢	人名	 
はっせず	Hasse図	固有名詞	
はんしゃりつ	反射律	名詞	
はんしょうせい	反証性	名詞	
はーゔぇい	Harvey	名詞	
ばなっは	Banach	人名	
ばなっはたるすきのぱらどくす	Banach-Tarskiのパラドクス	固有名詞	
ばれんでぃくと	Barendregt	人名	
ばーんすたいん	Bernstein	人名	
ばーんすたいんかんすう	Bernstein関数	固有名詞	
ぱどらっく	Pudlák	名詞	
ぱーしばる	Parseval	人名	
ぱーせばる	Parseval	人名	
ぱーせゔぁる	Parseval	人名	
ぱーせゔぁるのとうしき	Parsevalの等式	人名	
ひこうわ	非交和	名詞	
ひじめい	非自明	名詞	
ひじょうちょう	非冗長	名詞	
ひだとう	⊭	記号	
ひだとう	非妥当	名詞	
ひてい	¬	記号	
ひはんしゃせい	非反射性	名詞	
ひはんしゃてき	非反射的	名詞	
ひょうけん	冰剣	固有名詞	
ひるべると	Hilbert	人名	
びゅっき	Büchi	人名	
ふぃっち	Fitch	人名	
